Title,Date,City,Location,Category,Source,Link
"Personalized Agents Hackathon | Hosted by Lightning.AI, Validia","Sat, Apr 4 · 1:30 PM",New York,"Newlab, 19 Morris Ave, Brooklyn",Other,Luma · Personal,https://lu.ma/0xjqdkau
[Stripe Press] Boston Pop-up,"Sat, Apr 4 · 3:00 PM",Cambridge,"VESTER Cambridge, 73 Ames St, Cambridge",Other,Luma · Personal,https://lu.ma/8qukz62d
Emerging Writers Summit,"Sat, Apr 4 · 4:00 PM",Boston,"Curry Student Center, 360 Huntington Ave, Boston",Other,Luma · Personal,https://lu.ma/4nz23bh8
WBGO presents All That Jazz at UCPAC's Hamilton Stage with Marion Meadows,"Sat, Apr 4 · 5:00 PM",New Jersey,"TBA - Union County Performing Arts Center, New Jersey",Music & Entertainment,Resident Advisor,https://ra.co/events/2330276
TWIRL,"Sat, Apr 4 · 9:00 PM",Pittsburgh,"Bottlerocket Social Hall, Pittsburgh",Other,Resident Advisor,https://ra.co/events/2376322
DJ Brownie & Orchard Lounge,"Sat, Apr 4 · 9:00 PM",Pittsburgh,"Thunderbird Café & Music Hall, Pittsburgh",Music & Entertainment,Resident Advisor,https://ra.co/events/2403885
JÄG,"Sat, Apr 4 · 9:00 PM",Pittsburgh,"Mary's Bar, Pittsburgh",Other,Resident Advisor,https://ra.co/events/2404176
Sip & Paint   (Watercolor),"Sun, Apr 5",New York,"520 8th Ave, New York",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/sip-paint-watercolor-tickets-1985319967466
"Easter Sunday in Cambridge - Music, Message, Community","Sun, Apr 5",Cambridge,"Aletheia Church Cambridge, Cambridge",Music & Entertainment,Allevents,https://allevents.in/cambridge/easter-sunday-in-cambridge-music-message-community/100001986237413572
Easter at the Hyatt,"Sun, Apr 5",Cambridge,"Hyatt Regency Boston / Cambridge, Cambridge",Other,Allevents,https://allevents.in/cambridge/easter-at-the-hyatt/100001985972782052
Easter,"Sun, Apr 5",Pittsburgh,"The Melting Pot (Pittsburgh, PA), Pittsburgh",Other,Allevents,https://allevents.in/pittsburgh/easter/200029849535513
Chef Zozula's Easter Brunch and Lamb cake bake off,"Sun, Apr 5",Pittsburgh,"black radish kitchen, Pittsburgh",Outdoor & Fitness,Allevents,https://allevents.in/pittsburgh/chef-zozulas-easter-brunch-and-lamb-cake-bake-off/100001984616960754
Bunnies &amp; Bubbly: Easter Brunch at RoofTop at Exchange Place,"Sun, Apr 5",New Jersey,"RoofTop at Exchange Place, Jersey City",Outdoor & Fitness,Allevents,https://allevents.in/jersey-city/bunnies-and-bubbly-easter-brunch-at-rooftop-at-exchange-place/80001068363959
Easter Weekend Kids Party Cruise Jersey City,"Sun, Apr 5",New Jersey,"11 Marin Blvd, Jersey City",Other,Allevents,https://allevents.in/jersey-city/easter-weekend-kids-party-cruise-jersey-city/100001984209181074
Easter weekend Kids Cruise From Liberty Harbor Marina JC,"Sun, Apr 5",New Jersey,"11 Marin Blvd, Jersey City",Other,Allevents,https://allevents.in/jersey-city/easter-weekend-kids-cruise-from-liberty-harbor-marina-jc/100001984204102885
Easter Sunday | Domingo de Resurrección,"Sun, Apr 5",New Jersey,"Cathedral Basilica of the Sacred Heart, Newark",Other,Allevents,https://allevents.in/newark/easter-sunday-|-domingo-de-resurrección/200029860840110
Easter Sunday-BIGGEST PARTY OF THE YEAR,"Sun, Apr 5",New Jersey,"7th Ave at Clifton Ave, Newark, NJ, United States, New Jersey 07104, Newark",Other,Allevents,https://allevents.in/newark/easter-sunday-biggest-party-of-the-year/200029734383215
Alive Again! Community Easter Celebration!,"Sun, Apr 5",New Jersey,"The Rock Place, Newark",Other,Allevents,https://allevents.in/newark/alive-again-community-easter-celebration/100001984937904706
Easter Festivities at Restaurant DANIEL,"Sun, Apr 5",New York,"Daniel, New York",Social & Dining,Allevents,https://allevents.in/new-york/easter-festivities-at-restaurant-daniel/80006891426785
"New England Symphonic Ensemble plays Lauridsen, Mozart and Vivaldi","Sun, Apr 5",New York,"Stern Auditorium / Perelman Stage, New York",Other,Allevents,https://allevents.in/new-york/new-england-symphonic-ensemble-plays-lauridsen-mozart-and-vivaldi/80002964271828
Resurrection Sunday at The Park,"Sun, Apr 5",New York,"Park Avenue Christian Church, New York",Other,Allevents,https://allevents.in/new-york/resurrection-sunday-at-the-park/100001984402811227
Easter Brunch at Omni Parker House,"Sun, Apr 5",Boston,"Parker's Restaurant, Boston",Outdoor & Fitness,Allevents,https://allevents.in/boston/easter-brunch-at-omni-parker-house/80001540607634
Easter Sunday Worship,"Sun, Apr 5",Boston,"455 Arborway, Boston",Other,Allevents,https://allevents.in/boston/easter-sunday-worship/100001983974102949
Easter BBQ Brunch Buffet Experience at Reunion BBQ,"Sun, Apr 5",Boston,"Reunion BBQ, Boston",Outdoor & Fitness,Allevents,https://allevents.in/boston/easter-bbq-brunch-buffet-experience-at-reunion-bbq/100001986140576931
Easter Brunch Buffet and Easter Egg Hunt,"Sun, Apr 5",Boston,"LUCIE drink + dine, Boston",Outdoor & Fitness,Allevents,https://allevents.in/boston/easter-brunch-buffet-and-easter-egg-hunt/100001984626292666
"Ritual Running Club: Friends & Family - Run, Jog, or  Walk","Sun, Apr 5",New Jersey,"Cramer Hill Waterfront Park, Camden",Outdoor & Fitness,Eventbrite,https://www.eventbrite.com/e/ritual-running-club-friends-family-run-jog-or-walk-tickets-1976743352580
Intro to Tango (Dance classes for beginners),"Sun, Apr 5",Boston,"Dance Union Studio, Somerville",Other,Eventbrite,https://www.eventbrite.com/e/intro-to-tango-dance-classes-for-beginners-tickets-1983638647593
Run Club,"Sun, Apr 5",Cambridge,"lululemon, Millbury",Outdoor & Fitness,Eventbrite,https://www.eventbrite.ca/e/run-club-tickets-1980720066037
Sunday Morning Run Club: lululemon x Central Park Run Club,"Sun, Apr 5",New York,"lululemon, New York",Outdoor & Fitness,Eventbrite,https://www.eventbrite.ca/e/sunday-morning-run-club-lululemon-x-central-park-run-club-tickets-1984774956323
Dried Flower Resin Craft Workshop,"Sun, Apr 5",New York,"51 35th St b209, Brooklyn",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/dried-flower-resin-craft-workshop-tickets-1983681972178
AFRICAN  DANCE CLASS,"Sun, Apr 5",New York,"520 8th Ave, New York",Other,Eventbrite,https://www.eventbrite.com/e/african-dance-class-tickets-1985316818046
Easter Sunday Kompa Dance Class,"Sun, Apr 5",New York,"520 8th Ave, New York",Other,Eventbrite,https://www.eventbrite.com/e/easter-sunday-kompa-dance-class-tickets-1835404467169
New York International Auto Show,"Sun, Apr 5 · 10:00 AM",New York,"655 W 34th St, New York",Music & Entertainment,Yelp Events,https://www.yelp.com/events/new-york-new-york-international-auto-show-4
"In-person Robotics Workshop For Kids (Free) in Danvers, MA","Sun, Apr 5 · 11:00 AM",Boston,"50 Dayton St,, Danvers",Other,Yelp Events,https://www.yelp.com/events/danvers-in-person-robotics-workshop-for-kids-free-in-danvers-ma-2
"Manoj Dias x HBS: Spirituality and Religion in the ""Temple of Capitalism""","Sun, Apr 5 · 8:45 PM",Boston,"Class of 1959 Chapel, Gordon Rd, Boston",Other,Luma · Personal,https://lu.ma/1odq6lux
College Basketball Championship Game Watch Party at The Greatest Bar,"Mon, Apr 6",Boston,"The Greatest Bar, Boston",Other,Eventbrite,https://www.eventbrite.com/e/college-basketball-championship-game-watch-party-at-the-greatest-bar-tickets-1982831373013
Reformation Sample Sale — Boston Seaport,"Mon, Apr 6",Boston,"62 Seaport Blvd, Boston",Other,Eventbrite,https://www.eventbrite.com/e/reformation-sample-sale-boston-seaport-tickets-1986031435486
Line Dancing with Carol,"Mon, Apr 6",New Jersey,"The Hive, Hamilton Township",Other,Eventbrite,https://www.eventbrite.com/e/line-dancing-with-carol-tickets-1984885102774
Trivia Night at Sunset Cantina,"Mon, Apr 6",Boston,"Sunset Cantina, Boston",Other,Eventbrite,https://www.eventbrite.com/e/trivia-night-at-sunset-cantina-tickets-1215710856899
"MURDER, THEY READ Book Club","Mon, Apr 6",New York,"Moxy NYC East Village, New York",Culture & Learning,Eventbrite,https://www.eventbrite.com/e/murder-they-read-book-club-tickets-1984076933518
Drunk Bollywood Trivia,"Mon, Apr 6",New York,"Caveat, New York",Outdoor & Fitness,Eventbrite,https://www.eventbrite.com/e/drunk-bollywood-trivia-tickets-1983388717044
Fash-a-thon Opening Night,"Mon, Apr 6 · 9:00 PM",New York,New York,Other,Luma · Personal,https://lu.ma/7qxgehbj
Designers who Vibe Code,"Mon, Apr 6 · 10:00 PM",New York,New York,Other,Luma · Personal,https://lu.ma/v4hrwrdx
NYC B2B: AI Founders & Investors Meetup,"Mon, Apr 6 · 10:30 PM",New York,New York,Other,Luma · NYC B2B: Startup Events,https://lu.ma/77osc4c6
"Free the Facts @ Pitt: Medicare's Past, Present, & Future","Tue, Apr 7",Pittsburgh,"William Pitt Union, Pittsburgh",Other,Eventbrite,https://www.eventbrite.com/e/free-the-facts-pitt-medicares-past-present-future-tickets-1985401289703
Trivia Night | Dave & Buster's - Homestead PA - TUE 730p @LeaderboardGames,"Tue, Apr 7",Pittsburgh,"Dave & Buster's Pittsburgh - Homestead, Homestead",Other,Eventbrite,https://www.eventbrite.com/e/trivia-night-dave-busters-homestead-pa-tue-730p-leaderboardgames-tickets-1326120665609
Chair Yoga (6 week series),"Tue, Apr 7",New Jersey,"Saltscape Wellness Center, Bogota",Wellness,Eventbrite,https://www.eventbrite.com/e/chair-yoga-6-week-series-tickets-1983303492134
Trivia Night at Echo Tap & Grille,"Tue, Apr 7",New Jersey,"Echo Tap & Grille, Mountainside",Other,Eventbrite,https://www.eventbrite.com/e/trivia-night-at-echo-tap-grille-tickets-1964515311179
"""Feeling Right"": Creative Dance Workshop","Tue, Apr 7",Cambridge,"North Cambridge Senior Center, Cambridge",Other,Eventbrite,https://www.eventbrite.com/e/feeling-right-creative-dance-workshop-tickets-1984334161895
ROMANCE Book Club,"Tue, Apr 7",New York,"The Ripped Bodice, Brooklyn",Culture & Learning,Eventbrite,https://www.eventbrite.com/e/romance-book-club-tickets-1984077318670
Hell Kitchen's Best Trivia Night!,"Tue, Apr 7",New York,"City Tavern & Table, New York",Other,Eventbrite,https://www.eventbrite.com/e/hell-kitchens-best-trivia-night-tickets-1981453225938
April: AI workflows at scale + K8s how-to,"Tue, Apr 7 · 6:00 PM",Cambridge,"90 Broadway, Cambridge",Other,Meetup · Boston Kubernetes Meetup,https://www.meetup.com/boston-kubernetes-meetup/events/312884167/
"Scott Institute Distinguished Lecture with Gretchen T. Goldman, Ph.D.","Wed, Apr 8",Pittsburgh,"Bosch Spark Conference  Room, Scott Hall, Pittsburgh",Wellness,Eventbrite,https://www.eventbrite.com/e/scott-institute-distinguished-lecture-with-gretchen-t-goldman-phd-tickets-1985738963695
No-Sew Tote Bag Workshop with Ujamaa Collective,"Wed, Apr 8",Pittsburgh,"East End Food Co-op, Pittsburgh",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/no-sew-tote-bag-workshop-with-ujamaa-collective-tickets-1983546097774
Intro to Waacking Dance Class,"Wed, Apr 8",Pittsburgh,"Level Up Studios, Pittsburgh",Other,Eventbrite,https://www.eventbrite.com/e/intro-to-waacking-dance-class-tickets-1980151688003
"Boston Gen AI Meetup April 2026: ""Coding and Engineering with AI”","Wed, Apr 8 · 6:00 PM",Cambridge,"Microsoft New England Research and Development Center, Cambridge",Other,Meetup · Boston Generative AI Meetup,https://www.meetup.com/boston-generative-ai-meetup/events/313563481/
Boston AI Music Meetup @ Berklee // April,"Wed, Apr 8 · 6:00 PM",Boston,"1140 1D - Lounge @ Berklee, Boston",Music & Entertainment,Meetup · Boston AI Music Meetup,https://www.meetup.com/boston-ai-music-meetup/events/313782118/
EASTER KIDS BOAT PARTY CRUISE JERSEY CITY NEW YORK CITY,"Thu, Apr 9",New Jersey,"Liberty Harbor Marina Boatyard, Jersey City",Other,Allevents,https://allevents.in/jersey-city/easter-kids-boat-party-cruise-jersey-city-new-york-city/100001984188267521
Marble Center 10th Anniversary Celebration,"Thu, Apr 9",Cambridge,"Broad Institute of MIT and Harvard, Cambridge",Other,Eventbrite,https://www.eventbrite.com/e/marble-center-10th-anniversary-celebration-tickets-1981343580987
HCSS - Colombian Spring Party,"Thu, Apr 9",Cambridge,"La Fabrica, Cambridge",Other,Eventbrite,https://www.eventbrite.com/e/hcss-colombian-spring-party-tickets-1985751045833
Paperback Platoon Book Club,"Thu, Apr 9",Pittsburgh,"Andrew Carnegie Free Library & Music Hall, Carnegie",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/paperback-platoon-book-club-tickets-1454614905339
True Story - Pages Non-fiction Book Club,"Thu, Apr 9",New Jersey,"Read Mill Books, Clinton",Culture & Learning,Eventbrite,https://www.eventbrite.com/e/true-story-pages-non-fiction-book-club-tickets-1980282852319
April Cover Every Genre Book Club: 'The President's Hat' by Antoine Laurain,"Thu, Apr 9",Boston,"Hummingbird Books, Newton",Culture & Learning,Eventbrite,https://www.eventbrite.com/e/april-cover-every-genre-book-club-the-presidents-hat-by-antoine-laurain-tickets-1980681810614
Brooks Run Club at Marathon Sports Brookline,"Thu, Apr 9",Boston,"Marathon Sports, Brookline",Outdoor & Fitness,Eventbrite,https://www.eventbrite.com/e/brooks-run-club-at-marathon-sports-brookline-tickets-1985869579370
Boston Singles Event: Trivia Night (Ages 40-55),"Thu, Apr 9",Boston,"Tiki Rock, Boston",Other,Eventbrite,https://www.eventbrite.com/e/boston-singles-event-trivia-night-ages-40-55-tickets-1985347750566
Validated AI Conference,"Thu, Apr 9 · 4:00 PM",Cambridge,Cambridge,Other,Luma · Personal,https://lu.ma/t2z81k8i
Wine Tasting,"Thu, Apr 9 · 5:00 PM",Boston,"Brix Wine Shop, Boston",Social & Dining,Meetup · After work hang out,https://www.meetup.com/life-after-works/events/313719883/
Agents at Work,"Thu, Apr 9 · 6:00 PM",Cambridge,"Microsoft NERD, Cambridge",Other,Meetup · Analytics.Club Boston: Data & ,https://www.meetup.com/ac-bos/events/313339745/
MLP Office Opening,"Thu, Apr 9 · 10:00 PM",Boston,"Millennium Latino Project, 614 Washington St Suite 403, Lynn",Other,Luma · Millennium Latino Project,https://lu.ma/jcgl2m1f
New York City Career Fair,"Fri, Apr 10",New York,"Hilton New York Hotel, New York",Other,Eventbrite,https://www.eventbrite.com/e/new-york-city-career-fair-tickets-497852368837
New York Career Fair,"Fri, Apr 10",New York,"Hilton Hotel, New York",Other,Eventbrite,https://www.eventbrite.com/e/new-york-career-fair-tickets-1979184081867
LOVE 2 LOVE - A DONNA SUMMER DISCO PARTY,"Fri, Apr 10",New York,"TV Eye, Queens",Other,Eventbrite,https://www.eventbrite.com/e/love-2-love-a-donna-summer-disco-party-tickets-1982801275992
PITTSBURGH 20s and 30s Social,"Fri, Apr 10",Pittsburgh,"Twelve Whiskey Barbecue, Pittsburgh",Other,Eventbrite,https://www.eventbrite.com/e/pittsburgh-20s-and-30s-social-tickets-1983636662656
"CID - No Introduction Tour - Pittsburgh, PA","Fri, Apr 10",Pittsburgh,"Enclave, Pittsburgh",Culture & Learning,Eventbrite,https://www.eventbrite.com/e/cid-no-introduction-tour-pittsburgh-pa-tickets-1983853433022
Boston YSA Conference,"Fri, Apr 10",Cambridge,"65 Binney St, Cambridge",Other,Eventbrite,https://www.eventbrite.com/e/boston-ysa-conference-tickets-1976639891124
Dr. Mary Claire Haver at First Parish Church,"Fri, Apr 10",Cambridge,"First Parish Church, Cambridge",Other,Eventbrite,https://www.eventbrite.com/e/dr-mary-claire-haver-at-first-parish-church-tickets-1983992031574
Living Together by Design: Housing to Connect Generations,"Fri, Apr 10",Cambridge,"Harvard University Graduate School Of Design, Cambridge",Other,Eventbrite,https://www.eventbrite.com/e/living-together-by-design-housing-to-connect-generations-tickets-1981209474872
"DITCH 'N' SPLASH ""Welcome to Spring""","Fri, Apr 10",New Jersey,"Island Waterpark at Showboat, Atlantic City",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/ditch-n-splash-welcome-to-spring-tickets-1980191167086
Country Line Dancing with Gena!,"Fri, Apr 10",Pittsburgh,"Emphico, Coraopolis",Other,Eventbrite,https://www.eventbrite.com/e/country-line-dancing-with-gena-tickets-1985957937652
Live at the Library Comedy Show,"Fri, Apr 10",New Jersey,"Hoboken Public Library, Hoboken",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/live-at-the-library-comedy-show-tickets-1981879432734
Intro to Rosé Wine,"Fri, Apr 10",Cambridge,"Commonwealth Wine School, Cambridge",Social & Dining,Eventbrite,https://www.eventbrite.com/e/intro-to-rose-wine-tickets-1982548313374
Mark Riley at The Comedy Den,"Fri, Apr 10",Boston,"Fox and Hound Tavern, Quincy",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/mark-riley-at-the-comedy-den-tickets-1980271633764
Stoughton Lions Club Trivia Night,"Fri, Apr 10",Cambridge,"14 Seaver St, Stoughton",Other,Eventbrite,https://www.eventbrite.com/e/stoughton-lions-club-trivia-night-tickets-1983544503004
Pottery Workshop - Wheel Throwing! (4/10; 7-9pm) Craft Art Night!,"Fri, Apr 10",Cambridge,"Pudgy’s Place, Peabody",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/pottery-workshop-wheel-throwing-410-7-9pm-craft-art-night-registration-1983464956077
TICKET GIVEAWAY! Enter to win 2 tickets to Dino Safari: A Walk Through Adventure (**KID FRIENDLY**),"Fri, Apr 10 · 11:00 AM",Cambridge,"100 Cambridgeside Pl, Cambridge",Outdoor & Fitness,Yelp Events,https://www.yelp.com/events/cambridge-ticket-giveaway-enter-to-win-2-tickets-to-dino-safari-a-walk-through-adventure-kid-friendly
No. 56-Tech Pulse 2030- Building and Scaling Responsible Systems for the Real World-Boston Event,"Fri, Apr 10 · 9:00 PM",Boston,Boston,Other,Luma · AI 2030 | Responsible AI,https://lu.ma/0mhwes5w
"GOOD MUSIC FRIDAYS WITH KEL, TELLI, & ROB RU","Fri, Apr 10 · 10:00 PM",New Jersey,"Porta, New Jersey",Music & Entertainment,Resident Advisor,https://ra.co/events/2402875
"Frailty in Aging Populations: Assessing Vulnerability in Clinical Care, Population Health, and Research","Fri, Apr 10 · 10:00 PM",Cambridge,Cambridge,Other,Luma · Aging Initiative,https://lu.ma/0x4m6gni
OWASP BASC 2026,"Sat, Apr 11",Cambridge,"Boston Marriott Cambridge, Cambridge",Other,Eventbrite,https://www.eventbrite.com/e/owasp-basc-2026-tickets-1982234637160
58 A.M. (After Martin),"Sat, Apr 11",Boston,"Wally's Cafe Jazz Club, Boston",Music & Entertainment,Allevents,https://allevents.in/boston/58-am-after-martin/100001985232671361
Comedy Night with Matt Light and friends,"Sat, Apr 11",Pittsburgh,"31 Sports Bar & Grille, Bridgeville",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/comedy-night-with-matt-light-and-friends-tickets-1983654687569
Cream Ridge Wine Tasting and Charcuterie,"Sat, Apr 11",New Jersey,"Mathis House a Victorian Bed & Breakfast and Tea Room, Toms River",Social & Dining,Eventbrite,https://www.eventbrite.com/e/cream-ridge-wine-tasting-and-charcuterie-tickets-1984410112064
Balkan Comedy Night New Jersey Saturday,"Sat, Apr 11",New Jersey,"Zina's Steakhouse & Grill, Teaneck",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/balkan-comedy-night-new-jersey-saturday-tickets-1979642250261
Yoga at NMOA,"Sat, Apr 11",New Jersey,"The Newark Museum of Art, Newark",Wellness,Eventbrite,https://www.eventbrite.com/e/yoga-at-nmoa-tickets-1983573541860
Autumn Lake Winery Yoga in the Vineyard Series,"Sat, Apr 11",New Jersey,"Autumn Lake Winery, Monroe",Wellness,Eventbrite,https://www.eventbrite.com/e/autumn-lake-winery-yoga-in-the-vineyard-series-tickets-1983043944821
Cooper Street Workshop: Crafting Structure in Flash Fiction,"Sat, Apr 11",New Jersey,"Rutgers Writers House, Camden",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/cooper-street-workshop-crafting-structure-in-flash-fiction-tickets-1976624019652
"Candle Making Workshop at The Muse ArtHouse, Closter","Sat, Apr 11",New Jersey,"84 Herbert Ave, Closter",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/candle-making-workshop-at-the-muse-arthouse-closter-tickets-1981247194693
Spoken Word / Dance,"Sat, Apr 11",New Jersey,"Showboat Resort Atlantic City, Atlantic City",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/spoken-word-dance-tickets-1615548893229
Melrose BEER + BITES Craft Brew Tasting Fundraiser 2026,"Sat, Apr 11",Boston,"Melrose Memorial Hall, Melrose",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/melrose-beer-bites-craft-brew-tasting-fundraiser-2026-tickets-1891121087079
Comedy Night w/ Jay Badlani @ Elephant & Castle (Downtown Boston),"Sat, Apr 11",Boston,"Elephant & Castle, Boston",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/comedy-night-w-jay-badlani-elephant-castle-downtown-boston-tickets-1980894139696
5k Beer Run x Sam Adams | 2026 MA Brewery Running Series,"Sat, Apr 11",Boston,"Samuel Adams Boston Brewery - Jamaica Plain, Boston",Outdoor & Fitness,Eventbrite,https://www.eventbrite.com/e/5k-beer-run-x-sam-adams-2026-ma-brewery-running-series-tickets-1980195119909
Emo Yoga at Deep Cuts,"Sat, Apr 11",Boston,"Deep Cuts - Eatery | Brewery | Live Music, Medford",Wellness,Eventbrite,https://www.eventbrite.com/e/emo-yoga-at-deep-cuts-tickets-1985832779300
Butterfly Yoga,"Sat, Apr 11",Cambridge,"The Butterfly Place, Westford",Wellness,Eventbrite,https://www.eventbrite.com/e/butterfly-yoga-tickets-1983149723207
Pottery Workshop - Wheel Throwing! (4/11; 6-8pm) Craft Art Night!,"Sat, Apr 11",Cambridge,"Pudgy’s Place, Peabody",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/pottery-workshop-wheel-throwing-411-6-8pm-craft-art-night-registration-1983465277037
BRUNCH Book Club,"Sat, Apr 11",New York,"Bushwick, Brooklyn",Outdoor & Fitness,Eventbrite,https://www.eventbrite.com/e/brunch-book-club-tickets-1984077553372
French Cheese & Wine Tasting,"Sat, Apr 11",New York,"Murray's Cheese Shop, New York",Social & Dining,Eventbrite,https://www.eventbrite.com/e/french-cheese-wine-tasting-tickets-1979776488772
Colors & Comedy: A Holi Comedy Show and Celebration,"Sat, Apr 11",New York,"The Local NY, Queens",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/colors-comedy-a-holi-comedy-show-and-celebration-tickets-1984436291367
Comedy Mob Showcase @ High Line Comedy Club,"Sat, Apr 11",New York,"High Line Comedy Club, New York",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/comedy-mob-showcase-high-line-comedy-club-tickets-1984063961719
Naked Yoga New York (NYNY) - All Levels,"Sat, Apr 11",New York,"38 W 32nd St, New York",Wellness,Eventbrite,https://www.eventbrite.com/e/naked-yoga-new-york-nyny-all-levels-tickets-1984348729467
Crafting Community: A Textile Arts Fair,"Sat, Apr 11",New York,"Our House, Queens",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/crafting-community-a-textile-arts-fair-tickets-1983469709294
D/S: Dance/ Surrender,"Sat, Apr 11",New York,"World Martial Arts Center Happy Kicks, Brooklyn",Other,Eventbrite,https://www.eventbrite.com/e/ds-dance-surrender-tickets-1968877289975
Yelp Event: Mamasushi Restaurant,"Sat, Apr 11 · 12:00 PM",New York,"3478 E Tremont Ave, Bronx",Social & Dining,Yelp Events,https://www.yelp.com/events/bronx-yelp-event-mamasushi-restaurant
Harvard XR 2026 Conference,"Sat, Apr 11 · 1:00 PM",Cambridge,"Harvard University, Massachusetts Hall, Cambridge",Other,Luma · Harvard XR,https://lu.ma/ah2aiw3y
Watson Adventures' Murder at the Art Museum Scavenger Hunt,"Sat, Apr 11 · 2:00 PM",Boston,"465 Huntington Ave, Boston",Culture & Learning,Yelp Events,https://www.yelp.com/events/boston-watson-adventures-murder-at-the-art-museum-scavenger-hunt-49
Annual Conference: Miles & Mindset,"Sat, Apr 11 · 6:00 PM",Boston,"Howard Thurman Center for Common Ground, 808 Commonwealth Ave, Brookline",Other,Luma · Boston Thai Network,https://lu.ma/milesandmindset
Making Connections at Urban Wild,"Sat, Apr 11 · 7:00 PM",Boston,"Urban Wild Boston, Boston",Other,Meetup · Boston Random Acts of Connecti,https://www.meetup.com/boston-random-acts-of-connection/events/313166664/
"Experience Dressed to Kilt, Scotland's Most Prestigious Fashion Show During Tartan Week in NYC on 4/11","Sat, Apr 11 · 7:30 PM",New York,"1216 Fifth Avenue, New York",Music & Entertainment,Yelp Events,https://www.yelp.com/events/new-york-experience-dressed-to-kilt-scotlands-most-prestigious-fashion-show-during-tartan-week-in-nyc-on-4-11
LazerCrunk feat Bok Bok (UK),"Sat, Apr 11 · 10:00 PM",Pittsburgh,"SideQuest on 44th, Pittsburgh",Outdoor & Fitness,Resident Advisor,https://ra.co/events/2388363
Honcho pres. Lauren Flax,"Sat, Apr 11 · 10:00 PM",Pittsburgh,"TBA - The New Hot Mass, Pittsburgh",Other,Resident Advisor,https://ra.co/events/2334661
Mosaic Workshop,"Sun, Apr 12",Cambridge,"Craft Loft (Cambridge Store), Cambridge",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/mosaic-workshop-tickets-1984150649003
The Tipsy Gnome Paint & Sip- Fushimi NYC,"Sun, Apr 12",New York,"Fushimi Times Square, New York",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/the-tipsy-gnome-paint-sip-fushimi-nyc-tickets-1967659691104
FEMMES Book Club,"Sun, Apr 12",New York,"Everything's Jake NYC Bar & Lounge, New York",Culture & Learning,Eventbrite,https://www.eventbrite.com/e/femmes-book-club-tickets-1984060965758
"Poetry Today Book Club: ""Homerica"" by Phoebe Giannisi","Sun, Apr 12",New York,"Book Club Bar, New York",Culture & Learning,Eventbrite,https://www.eventbrite.com/e/poetry-today-book-club-homerica-by-phoebe-giannisi-tickets-1984711978956
Low & Slow Yoga,"Sun, Apr 12",New York,"Fit4Dance, BROOKLYN",Wellness,Eventbrite,https://www.eventbrite.com/e/low-slow-yoga-tickets-1983151255791
Introduction to Cosplay Crafting - Workshop,"Sun, Apr 12",New York,"Japan Village, Brooklyn",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/introduction-to-cosplay-crafting-workshop-tickets-1985524763015
Arts and Crafts: DIY Clay Mirror Frame Workshop,"Sun, Apr 12",New York,"134 W 29th St fl 2, New York",Arts & Crafts,Eventbrite,https://www.eventbrite.com/e/arts-and-crafts-diy-clay-mirror-frame-workshop-tickets-1985776115818
"Yelp Event: Foraging as a New Hobby - Yelp In Bloom with ""Wildman"" Steve Brill","Sun, Apr 12 · 9:30 AM",New York,"1 Columbus Ave, Tuckahoe",Other,Yelp Events,https://www.yelp.com/events/tuckahoe-yelp-event-foraging-as-a-new-hobby-yelp-in-bloom-with-wildman-steve-brill
Sunday Mourning: Goth Brunch & Dark Dance Party || Chloe D'Cay Birthday Party,"Sun, Apr 12 · 2:00 PM",New Jersey,"Qxts Night Club, New Jersey",Outdoor & Fitness,Resident Advisor,https://ra.co/events/2407562
Boston Talks,"Sun, Apr 12 · 3:00 PM",Cambridge,"MIT Wong Auditorium, Tang Center, 2 Amherst St",Culture & Learning,Luma · Personal,https://lu.ma/iazcmaj4
BESTIES BOOK CLUB (Meets every second Monday),"Mon, Apr 13",Pittsburgh,"31 E Main St, Carnegie",Culture & Learning,Eventbrite,https://www.eventbrite.com/e/besties-book-club-meets-every-second-monday-tickets-1984087362712
Restorative Yoga Class,"Mon, Apr 13",Pittsburgh,"Emphico, Coraopolis",Wellness,Eventbrite,https://www.eventbrite.com/e/restorative-yoga-class-tickets-1984482313019
